model,domain,puzzle_id,correct,chosen_answer,candidate,judge_confidence,judge_ngrams,regex_score,is_chosen
Gemini 3 Flash,Rebus,17_4,0,elbow,l-bow,90.0,"[""that's got to be it"", ""L-bow = Elbow"", ""L plus \""bow\""... that sounds like""]",-0.8737280296022201,0
Gemini 3 Flash,Rebus,17_4,0,elbow,elbow,95.0,"[""that has to be it"", ""I'm sure it is"", ""I am confident"", ""generally, it's just \""elbow.\""""]",-4.156244218316374,1
Gemini 3 Flash,Rebus,17_4,0,elbow,bow,50.0,"[""object (bow)"", ""One vertical bow"", ""one horizontal bow""]",-9.267807585568915,0
Gemini 3 Pro,Rebus,17_9,1,rampant,ramp,95.0,"[""definitely a ramp"", ""undeniably the incline"", ""object in the image""]",3.425399644760213,0
Gemini 3 Pro,Rebus,17_9,1,rampant,ant,95.0,"[""clear picture of an ant"", ""creature in the image"", ""the insect""]",2.109502664298401,0
Gemini 3 Pro,Rebus,17_9,1,rampant,rampant,100.0,"[""just pops into my head"", ""fits perfectly"", ""got to be"", ""actually fits""]",0.0,1
Gemini 3 Pro,Rebus,17_4,0,elbow,bow,45.0,"[""puns on \""bow\"""", ""two bows"", ""L-shape made of bows""]",16.755936675461736,0
Gemini 3 Pro,Rebus,17_4,0,elbow,elbow,95.0,"[""sounds like \""Elbow\"""", ""A classic rebus"", ""fits perfectly"", ""word is \""Elbow\""""]",8.857189973614775,1
Gemini 3 Pro,Rebus,17_4,0,elbow,l-bow,85.0,"[""could this be \""L-bow\"""", ""sounds like \""Elbow\"""", ""L' made of 'bows'""]",3.2695250659630606,0
Gemini 3 Pro,Rebus,17_4,0,elbow,tie up,20.0,"[""No obvious connection"", ""not a cross"", ""not \""Ties that bind\""""]",-0.7474274406332453,0
Gemini 3 Pro,Rebus,17_4,0,elbow,farfalle,10.0,"[""Is it \""Farfalle\"""", ""Nope""]",-0.7520448548812665,0
Gemini 3 Pro,Rebus,17_4,0,elbow,stand-up tie,10.0,"[""\""Stand-up tie\"""", ""Nope""]",-0.7575857519788918,0
Gemini 3 Pro,Rebus,17_4,0,elbow,tie down,20.0,"[""No obvious connection"", ""not a cross"", ""not \""Ties that bind\""""]",-1.1928759894459102,0
Gemini 3 Pro,Rebus,17_4,0,elbow,tie breaker,25.0,"[""maybe a \""tie breaker\"""", ""No, not a clock""]",-1.445910290237467,0
Gemini 3 Pro,Rebus,17_4,0,elbow,l tie,25.0,"[""\""L tie\"""", ""I don't see anything""]",-1.974934036939314,0
Gemini 3 Pro,Rebus,17_4,0,elbow,tie,45.0,"[""common tie idioms"", ""vertical and horizontal bow tie"", ""two ties""]",-11.258245382585752,0
Gemini 2.5 Pro,Rebus,17_9,1,rampant,ramp,85.0,"[""core idea"", ""Ramp"", ""ramp and ant""]",5.466125,0
Gemini 2.5 Pro,Rebus,17_9,1,rampant,rampant,95.0,"[""Yep, that gives me"", ""Rampant it is"", ""Makes sense"", ""real word""]",2.587875,1
Gemini 2.5 Pro,Rebus,17_9,1,rampant,disabled-ant,10.0,"[""Disabled-ant"", ""Nope""]",0.929125,0
Gemini 2.5 Pro,Rebus,17_9,1,rampant,slope-ant,5.0,"[""Slope-ant"", ""No way""]",0.91075,0
Gemini 2.5 Pro,Rebus,17_9,1,rampant,handicap-ant,10.0,"[""Handicap-ant"", ""Nope""]",0.8915,0
Gemini 3 Flash,Rebus,17_9,1,rampant,ant,50.0,"[""an ant"", ""Ramp + Ant""]",6.053939393939393,0
Gemini 3 Flash,Rebus,17_9,1,rampant,ramp,75.0,"[""signals \""ramp\"""", ""straight to \""Rampant\"""", ""focus on the \""ramp\""""]",4.428333333333333,0
Gemini 3 Flash,Rebus,17_9,1,rampant,rampant,95.0,"[""leads me straight to"", ""Yes, the answer has to be"", ""Rampant!""]",2.7624242424242427,1
Gemini 3 Flash,Rebus,17_9,1,rampant,wheelchair,30.0,"[""\""Wheelchair\"" + \""Ant\""?"", ""Still no""]",0.7581818181818181,0
Gemini 3 Flash,Rebus,17_9,1,rampant,handicap,25.0,"[""\""Handicap\"" + \""Ant\""?"", ""Doesn't sound like a real word""]",0.6966666666666665,0
Gemini 3 Pro,Rebus,18_2,1,integrate,tegr8,65.0,"[""tegr8 means integrate"", ""typical and close""]",0.0,0
Gemini 3 Pro,Rebus,18_2,1,integrate,t-ate,30.0,"[""might mean t-ate"", ""makes no sense""]",0.0,0
Gemini 3 Pro,Rebus,18_2,1,integrate,in te gr 8,60.0,"[""in te gr 8"", ""typical and close""]",0.0,0
Gemini 3 Pro,Rebus,18_2,1,integrate,in te8gr,55.0,"[""thought it might be integrate"", ""stuck on the odd letter order"", ""maybe te8gr is a typo""]",-0.6431372549019607,0
Gemini 3 Pro,Rebus,18_2,1,integrate,gr8te,40.0,"[""(not gr8te)"", ""brought me back to the problem""]",-0.7875090777051561,0
Gemini 3 Pro,Rebus,18_2,1,integrate,integrate,85.0,"[""must be: integrate"", ""only sensible answer"", ""thought it might be"", ""typical and close""]",-1.2168845315904138,1
Gemini 3 Pro,Rebus,18_2,1,integrate,great,45.0,"[""often meant great"", ""mean great""]",-1.5010530137981115,0
Gemini 3 Pro,Rebus,18_2,1,integrate,te8gr,50.0,"[""kept coming up"", ""te8gr is a typo"", ""letters in this specific order""]",-2.144190268700073,0
Gemini 3 Pro,Rebus,18_2,1,integrate,the,35.0,"[""te is used phonetically for the""]",-15.383769063180829,0
Gemini 3 Pro,Rebus,18_2,1,integrate,te,40.0,"[""components: te"", ""used phonetically for the""]",-18.69266521423384,0
Gemini 3 Flash,Rebus,13_12,1,fortunate,fortunate,90.0,"[""sounds like \""fortunate\"""", ""seems to fit"", ""Got it""]",2.567343173431734,1
Gemini 3 Flash,Rebus,13_12,1,fortunate,four tuna eight,50.0,"[""map this out: 4 - Tuna - 8"", ""phonetic element here"", ""\""Four tuna eight\""...hmm""]",1.3878228782287825,0
Gemini 2.5 Pro,Rebus,18_2,1,integrate,te8gr,41.0,"[""the text \""te8gr\"""", ""visual and phonetic interpretation of \""te8gr\""""]",0.0,0
Gemini 2.5 Pro,Rebus,18_2,1,integrate,te-eight-gr,28.0,"[""trying combinations like"", ""doesn't lead to a clear word"", ""try phrases""]",0.0,0
Gemini 2.5 Pro,Rebus,18_2,1,integrate,integrate,95.0,"[""it forms \""in-te-grate.\"""", ""finally settle on"", ""resulting in"", ""leads to integrate"", ""The solution is thus derived""]",-1.8003853564547208,1
Gemini 2.5 Pro,Rebus,18_2,1,integrate,grate,85.0,"[""sounds like \""ate,\"""", ""to get \""grate\"""", ""it forms""]",-4.586512524084778,0
Gemini 2.5 Pro,Rebus,18_2,1,integrate,gr,50.0,"[""components being"", ""in conjunction with \""gr\""""]",-8.428709055876686,0
Gemini 2.5 Pro,Rebus,18_2,1,integrate,in,75.0,"[""realizing \""in\"" is likely implied"", ""box"", ""components being `in`""]",-17.97533718689788,0
Gemini 3 Flash,Rebus,18_2,1,integrate,te8gr,50.0,"[""image shows \""te8gr\"""", ""even though it's \""te8gr\"""", ""is that really \""integrate?\""""]",3.795855312735494,0
Gemini 3 Flash,Rebus,18_2,1,integrate,in-te-gr-ate,90.0,"[""te8gr\"" -> \""in-te-gr-ate\"""", ""check online"", ""answer is \""integrate\""""]",2.8077241899020344,0
Gemini 3 Flash,Rebus,18_2,1,integrate,in-te-grate,75.0,"[""standard go-to"", ""hesitant because the \""8\"" (ate) is in the middle"", ""where does the \""8\"" fit?""]",0.3943104747550867,0
Gemini 3 Flash,Rebus,18_2,1,integrate,eight,45.0,"[""interpreting it as \""in\"" + \""te\"" + \""ate\"" + \""gr\"""", ""8 sound for \""ate\"""", ""the \""8\"" is \""ate\""""]",-2.5157498116051245,0
Gemini 3 Flash,Rebus,18_2,1,integrate,in,65.0,"[""box signify something? Maybe \""in\""?"", ""if the \""in\"" is implicit due to the box""]",-2.576412961567448,0
Gemini 3 Flash,Rebus,18_2,1,integrate,integrate,95.0,"[""best fit"", ""my intuition tells me this is \""integrate\"""", ""Answer is \""integrate.\"""", ""intended answer is likely""]",-4.884174830444612,1
Gemini 3 Flash,Rebus,18_2,1,integrate,te-ate-gr,60.0,"[""if I say it fast, \""te-ate-gr\"" it sounds like \""integrate\"""", ""does that sound like anything?""]",-4.898681235870384,0
Gemini 3 Flash,Rebus,18_2,1,integrate,ate,85.0,"[""8 sound for \""ate\"""", ""the \""8\"" is \""ate\"""", ""8 represents \""ate\""""]",-9.859984928409943,0
Gemini 3 Flash,Rebus,18_2,1,integrate,gr,50.0,"[""'gr' sound is at the end"", ""it's \""gr\"""", ""if \""gr\"" comes at the end""]",-11.695892991710624,0
Gemini 3 Flash,Rebus,18_2,1,integrate,te,50.0,"[""seeing the \""te\"" and \""gr\"" sounds"", ""te\"" + \""eight\"" + \""gr""]",-21.07822155237379,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,seasoning,95.0,"[""much better fit"", ""Seasoning - that's a"", ""it incorporates all the elements""]",0.0,1
Gemini 3 Pro,Rebus,18_7,1,seasoning,overseeing,15.0,"[""No, I would expect"", ""Could it be \""Overseeing\""? No""]",0.0,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,seas,50.0,"[""sounds like \""seas\"""", ""No, that wouldn't make a word"", ""literal \""Seas on ing\""""]",0.0,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,seas on ing,90.0,"[""literally \""C's\"" on \""ing\"""", ""Seas on ing"", ""Seas + on + ing = Seasoning""]",0.0,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,over,20.0,"[""relationship of C's being over"", ""not just a positional one""]",0.0,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,seize,40.0,"[""plural \""C's\"" could be \""Seize\"""", ""Seize + ing equals \""Seizing\""""]",-0.5413341645885287,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,c's,60.0,"[""C's + ing"", ""plural \""C's\"""", ""literally \""C's\"" on \""ing\""""]",-1.5118453865336658,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,seizing,75.0,"[""phonetically close word"", ""solid candidate"", ""points to \""Seizing\""""]",-1.596072319201995,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,on,85.0,"[""\""C's\"" on \""ing\"""", ""Seas + on + ing""]",-2.187593516209476,0
Gemini 3 Pro,Rebus,18_7,1,seasoning,ing,60.0,"[""\""ing\"" below"", ""letter/string over letter/string"", ""literal \""Seas on ing\""""]",-3.7487531172069817,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,ing,50.0,"[""directly underneath them"", ""plus 'ing'"", ""adding 'ing' gives""]",28.924557421697685,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,success,95.0,"[""sounds like 'Success'"", ""equals 'success'"", ""represents 'Success'"", ""six C's = Success""]",12.62401270994099,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,succeeding,95.0,"[""it becomes 'Succeeding'"", ""more natural"", ""proper answer"", ""classic example"", ""is 'Succeeding'""]",11.430503858374944,1
Gemini 3 Flash,Rebus,18_7,0,succeeding,six c's,85.0,"[""pretty clear"", ""read it as"", ""six C's = Success""]",11.092374035406266,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,see,35.0,"[""can be 'see'"", ""does not work""]",5.803132092600999,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,6 c's,85.0,"[""6 C's = success"", ""represents 'Success'""]",2.9565138447571493,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,successing,25.0,"[""isn't a common word"", ""Successing or Succeeding""]",2.015297321833863,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,seeing,15.0,"[""No"", ""does not work either""]",0.0,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,six seeing,10.0,"[""No"", ""Six seeing? No""]",0.0,0
Gemini 3 Flash,Rebus,18_7,0,succeeding,cccccc,50.0,"[""is six 'C's"", ""six 'C' letters arranged""]",-0.3727644121652292,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,ing,45.0,"[""the \""ing\"" is under it"", ""consider the \""ing\"" as a kind of action""]",2.1221398305084755,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,overseeing,95.0,"[""\""overseeing\"" clicks into place"", ""makes \""overseeing\"" the strongest possibility"", ""I come back to \""overseeing\""""]",1.023728813559322,1
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,seizing,20.0,"[""briefly considered other options"", ""like \u201cseizing\u201d""]",0.9136122881355933,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,seas,50.0,"[""seven \""seas\"""", ""common phrase"", ""considering as \""seas\""""]",0.1045550847457625,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,s are over the,,[],0.0,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,seaing,30.0,"[""So I try \""seven sees ing\"", \""Seaing\"""", ""it\u2019s not clicking""]",0.0,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,seven sees ing,30.0,"[""but that's nonsense"", ""I try things like \""seven sees ing\""""]",0.0,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,seeing,40.0,"[""trying things like \""seeing seven Cs\"""", ""stuck on \""seeing\""""]",-0.3077860169491526,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,over,75.0,"[""arrangement suggests \""over\"""", ""the Cs are *above* the \""ing\""""]",-0.3170550847457623,0
Gemini 2.5 Pro,Rebus,18_7,0,overseeing,over sees ing,70.0,"[""\""Over sees ing\"""", ""That feels close""]",-0.7030190677966102,0
Gemini 3 Pro,Rebus,18_12,1,canoe,can,50.0,"[""analyzed the image. It's a can"", ""related to the wavy lines and the \""can\"" component""]",6.20142671854734,0
Gemini 3 Pro,Rebus,18_12,1,canoe,ooh,45.0,"[""\""Can\"" plus \""ooh\"""", ""does that make a word?""]",4.506939040207523,0
Gemini 3 Pro,Rebus,18_12,1,canoe,canoe,95.0,"[""Yes, that sounds like a good fit"", ""confirmed the letters were"", ""mentally reviewed the answer and decided it was likely to be \""canoe.\"""", ""answer is \""Canoe\""""]",2.464785992217899,1
Gemini 3 Pro,Rebus,18_12,1,canoe,oooh,50.0,"[""the letters \""o o o h\"""", ""returning to the \""can\"" + \""oooh\"" idea""]",1.4602464332036311,0
Gemini 3 Pro,Rebus,18_12,1,canoe,can-ooh,85.0,"[""\""Can-ooh\"" - could that be \""Canoe\""?"", ""that sounds like a good fit""]",0.7702983138780803,0
Gemini 3 Pro,Rebus,18_12,1,canoe,can of ooohs,20.0,"[""considered \""ooh can,\"" \""can of ooohs\"""", ""did not work out""]",0.7117380025940336,0
Gemini 3 Pro,Rebus,18_12,1,canoe,soda can,40.0,"[""like a soda can"", ""Soda Can and other options"", ""but focused back on the letters""]",0.0,0
Gemini 3 Pro,Rebus,18_12,1,canoe,mountain dew,30.0,"[""\""Mountain Dew\"""", ""but focused back on the letters""]",0.0,0
Gemini 3 Pro,Rebus,18_12,1,canoe,o o o h,50.0,"[""letters \""o o o h\"" written vertically"", ""letters 'h' and three 'o's""]",0.0,0
Gemini 3 Pro,Rebus,18_12,1,canoe,ooooh,,[],0.0,0
Gemini 2.5 Pro,Rebus,18_12,0,minnesota,soda,50.0,"[""The soda can itself"", ""in soda"", ""on soda""]",2.26225,0
Gemini 2.5 Pro,Rebus,18_12,0,minnesota,o o o h,45.0,"[""o o o h"", ""printed vertically"", ""what do they mean""]",1.1048749999999998,0
Gemini 2.5 Pro,Rebus,18_12,0,minnesota,minnesota,35.0,"[""must be Minnesota"", ""doesn't sound like mini"", ""sounds nothing like Minnesota""]",0.0,1
Gemini 2.5 Pro,Rebus,18_12,0,minnesota,ooh,30.0,"[""play on ooh"", ""ooh in soda"", ""sounds nothing like""]",0.0,0
Gemini 2.5 Pro,Rebus,18_12,0,minnesota,on soda,40.0,"[""is it on soda"", ""the layout is important""]",0.0,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,can,50.0,"[""identify the components: object (can)"", ""the \""can\"" part""]",5.972957969865188,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,urri,30.0,"[""Sounds like U-R-I"", ""a bit more of a stretch""]",2.499881046788264,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,ooo,50.0,"[""letters \""O\"", \""O\"", \""O\"""", ""H + OOO""]",2.026685170499603,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,hurricane,95.0,"[""this feels good"", ""now it is \""Hurricane\"""", ""most common answer"", ""must mean it's \""Hurricane\"""", ""the answer is HURRICANE""]",1.6827914353687548,1
Gemini 3 Flash,Rebus,18_12,0,hurricane,who,60.0,"[""keeps popping into mind"", ""Ooooh\"" is usually \""Who""]",0.7707771609833463,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,ooooh can,75.0,"[""OOOOH CAN"", ""this feels good""]",0.7193893735130847,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,oooh,45.0,"[""sound of surprise"", ""OOOH\"" sounds like \""OH""]",0.361697065820777,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,toucan,15.0,"[""No, too many \""O\""s"", ""definitely not two""]",0.3363996827914353,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,who can,40.0,"[""nothing feels right"", ""also fits"", ""with a bit more of a stretch""]",-0.0332672482157019,0
Gemini 3 Flash,Rebus,18_12,0,hurricane,oh,35.0,"[""\""OH\"" in a can?"", ""but what?""]",-0.9746233148295004,0
Gemini 2.5 Pro,Rebus,19_5,0,snow,snow,95.0,"[""That sounds like \""Snow\"""", ""most straightforward interpretation"", ""reasonably confident in this"", ""Sno must mean snow""]",-0.5294046903187011,1
Gemini 2.5 Pro,Rebus,19_5,0,snow,sno,75.0,"[""Combine it: \""Sno.\"""", ""Sno... wait a minute"", ""Sno sounds like \""snow\""""]",-0.5294046903187011,0
Gemini 2.5 Pro,Rebus,19_5,0,snow,s not,15.0,"[""Doesn't make sense"", ""S not""]",-0.5752856283824413,0
Gemini 2.5 Pro,Rebus,19_5,0,snow,s prohibited,15.0,"[""Doesn't make sense"", ""S prohibited"", ""That wouldn't work""]",-0.5790739627179795,0
Gemini 2.5 Pro,Rebus,19_5,0,snow,no-ed,20.0,"[""Too complex"", ""no-ed""]",-0.6859891761876127,0
Gemini 2.5 Pro,Rebus,19_5,0,snow,no,50.0,"[""The \""no\"" symbol"", ""universal \""no\"" symbol""]",-4.922609741431148,0
Gemini 3 Flash,Rebus,19_5,0,snow,snow,95.0,"[""S + no equals... snow!"", ""most direct interpretation"", ""most common rebus for \""Snow\"""", ""The most logical answer is SNOW""]",0.0,1
Gemini 3 Flash,Rebus,19_5,0,snow,snooze,15.0,"[""\""Snooze\""?"", ""Nope""]",0.0,0
Gemini 3 Flash,Rebus,19_5,0,snow,no,75.0,"[""most direct interpretation"", ""symbol is \""no\"""", ""common rebus for \""Snow\""""]",0.0,0
Gemini 3 Flash,Rebus,19_5,0,snow,zero,15.0,"[""\""S\"" + \""zero\""?"", ""Doesn't fit""]",0.0,0
Gemini 3 Flash,Rebus,19_5,0,snow,slash,10.0,"[""\""S\"" + \""slash\""?"", ""Nah""]",0.0,0
Gemini 3 Flash,Rebus,19_5,0,snow,son,10.0,"[""\""Son\""?"", ""No again""]",0.0,0
Gemini 3 Flash,Rebus,19_5,0,snow,soon,10.0,"[""Could it be \""soon\""?"", ""No""]",0.0,0
Gemini 3 Flash,Rebus,19_5,0,snow,none,25.0,"[""\""S\"" + \""none\"""", ""not likely""]",0.0,0
Gemini 3 Flash,Rebus,19_5,0,snow,nothing,35.0,"[""represent a few things"", ""nothing""]",,0
Gemini 3 Pro,Rebus,19_5,0,snow,no,50.0,"[""symbol is 'no'"", ""universally recognized as a 'no'""]",0.92688679245283,0
Gemini 3 Pro,Rebus,19_5,0,snow,nothing,45.0,"[""also representing 'nothing'"", ""means 'nothing?'""]",0.4754716981132075,0
Gemini 3 Pro,Rebus,19_5,0,snow,zero,40.0,"[""representing 'zero'"", ""Could it be 's-zero'?""]",0.470754716981132,0
Gemini 3 Pro,Rebus,19_5,0,snow,snow,95.0,"[""could it be 'snow'?"", ""leaning towards: 's' + 'no' equals 'snow'"", ""very standard answer"", ""confident that is the correct answer""]",0.0,1
Gemini 3 Pro,Rebus,19_5,0,snow,s-no,85.0,"[""Gotta be 's-no'"", ""always means S-NO"", ""very standard answer""]",0.0,0
Gemini 3 Pro,Rebus,19_5,0,snow,s-not,35.0,"[""'s-not' is also possible"", ""less elegant for a typical rebus""]",0.0,0
Gemini 3 Pro,Rebus,19_5,0,snow,s-null,30.0,"[""Or 's-null'?"", ""Hmmm""]",0.0,0
Gemini 3 Pro,Rebus,19_5,0,snow,s-zero,30.0,"[""Or 's-zero'?"", ""Hmmm""]",0.0,0
Gemini 3 Pro,Rebus,19_5,0,snow,s-nothing,30.0,"[""Could it be 's-nothing'?"", ""Hmmm""]",0.0,0
Gemini 2.5 Pro,Rebus,19_10,0,w in seaweed,w in seaweed,55.0,"[""try different prepositional combinations"", ""W in seaweed""]",0.0,1
Gemini 2.5 Pro,Rebus,19_10,0,w in seaweed,lost in the weeds,85.0,"[""most likely answer"", ""Lost in the weeds""]",0.0,0
Gemini 2.5 Pro,Rebus,19_10,0,w in seaweed,eed,50.0,"[""combine it with the \""EED\"""", ""from seaWEED""]",0.0,0
Gemini 2.5 Pro,Rebus,19_10,0,w in seaweed,w with seaweed,55.0,"[""try different prepositional combinations"", ""W with seaweed""]",0.0,0
Gemini 2.5 Pro,Rebus,19_10,0,w in seaweed,seaweed,65.0,"[""most likely to be"", ""seaweed""]",0.0,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,w in coral,15.0,"[""W in coral"", ""No, that doesn't make sense""]",0.0,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,w in the bush,55.0,"[""W in the bush"", ""I'm also thinking of other possibilities""]",-0.5240981963927855,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,w weed,18.0,"[""W weed"", ""Not really""]",-0.5672344689378757,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,w in a bush,35.0,"[""W in a bush"", ""could be something else"", ""but I don't see it""]",-0.5791583166332666,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,coral,10.0,"[""coral"", ""No, that won't work"", ""not \""coral\""""]",-1.4564128256513025,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,w bush,65.0,"[""I could format it"", ""W Bush"", ""I think it is""]",-2.026803607214428,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,weed,10.0,"[""Weed"", ""No, not a thing""]",-2.246693386773547,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,bush w,65.0,"[""Bush W"", ""classic visual rebus"", ""I think it is""]",-2.9261523046092184,0
Gemini 3 Pro,Rebus,19_10,0,george w. bush,george w. bush,95.0,"[""most likely answer"", ""George W. Bush"", ""confident"", ""most direct way"", ""all constraints satisfied""]",-3.784969939879759,1
Gemini 3 Pro,Rebus,19_10,0,george w. bush,bush,45.0,"[""straightforward bush"", ""background is definitely a bush""]",-13.06137274549098,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,eye,45.0,"[""image elements are \""ship\"" and \""eye\"""", ""fits with \""eye\""""]",12.085925925925924,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,eyeliner,100.0,"[""Aha! That's it"", ""fits perfectly"", ""Perfect""]",4.66060606060606,1
Gemini 3 Pro,Rebus,20_3,1,eyeliner,eye liner,95.0,"[""Eye + Liner = Eyeliner"", ""eye on a liner""]",0.8435016835016835,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,eye vessel,15.0,"[""\""Eye vessel\""? No""]",0.835016835016835,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,watch,30.0,"[""More like \""see\"" or \""watch\""""]",-0.6738047138047139,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,look ship,20.0,"[""\""Look ship\""? \""Aye, aye captain\"" -- too simplistic, no""]",-0.6832323232323232,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,see ship,30.0,"[""Maybe it's \""see ship\"""", ""no""]",-0.7459259259259259,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,sea ship,30.0,"[""\""Sea ship\""? Hmm, no""]",-0.7525252525252526,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,see,35.0,"[""More like \""see\"" or \""watch\"""", ""Maybe it's \""see ship\""""]",-1.4154882154882154,0
Gemini 3 Pro,Rebus,20_3,1,eyeliner,ship,50.0,"[""definite steamship or liner"", ""relationship? Is the eye on the ship?""]",-1.4513804713804712,0
Gemini 3 Flash,Rebus,19_10,1,wreath,reef,95.0,"[""W + reef = Wreath"", ""definitely a highly detailed drawing of coral"", ""Yes!"", ""That's the one""]",16.655246913580246,0
Gemini 3 Flash,Rebus,19_10,1,wreath,eed,40.0,"[""Sea + W + eed"", ""doesn't quite make sense""]",12.257175925925926,0
Gemini 3 Flash,Rebus,19_10,1,wreath,wreath,95.0,"[""would work perfectly"", ""W + Reef = Wreath"", ""Bingo"", ""almost certainly \""Wreath\""""]",10.689621913580249,1
Gemini 3 Flash,Rebus,19_10,1,wreath,weed,45.0,"[""could be \""W-weed\"""", ""just W + weed"", ""W + weed = Seaweed""]",10.610416666666667,0
Gemini 3 Flash,Rebus,19_10,1,wreath,sea,35.0,"[""Sea + W = Seaweed"", ""doesn't quite make sense""]",8.480015432098764,0
Gemini 3 Flash,Rebus,19_10,1,wreath,seaweed,55.0,"[""could be \""Seaweed\"""", ""doesn't quite make sense"", ""Maybe \""Seaweed\"", but not quite""]",7.669868827160494,0
Gemini 3 Flash,Rebus,19_10,1,wreath,w-ash,15.0,"[""(no)"", ""W-ash? (if it's ash?)""]",2.138503086419753,0
Gemini 3 Flash,Rebus,19_10,1,wreath,ear,10.0,"[""W on ear = Wear"", ""No""]",0.4650077160493827,0
Gemini 3 Flash,Rebus,19_10,1,wreath,wear,10.0,"[""W on ear = Wear"", ""No""]",0.0,0
Gemini 3 Flash,Rebus,19_10,1,wreath,wash,10.0,"[""W on ash = Wash"", ""No""]",0.0,0
Gemini 3 Flash,Rebus,20_3,1,eyeliner,liner,90.0,"[""Eye inside a \""liner\"""", ""ocean liner"", ""therefore, EYELINER""]",4.103362255965292,0
Gemini 3 Flash,Rebus,20_3,1,eyeliner,eye,90.0,"[""Eye inside a \""liner\"""", ""therefore, EYELINER"", ""eye is prominent""]",3.869414316702819,0
Gemini 3 Flash,Rebus,20_3,1,eyeliner,eyeliner,100.0,"[""Bingo!"", ""That's it"", ""EYELINER""]",0.9620390455531452,1
Gemini 3 Flash,Rebus,20_3,1,eyeliner,eyeship,15.0,"[""Doesn't work"", ""Eyeship""]",0.0,0
Gemini 3 Flash,Rebus,20_3,1,eyeliner,eye on ship,20.0,"[""Not quite right"", ""Eye on ship""]",0.0,0
Gemini 3 Flash,Rebus,20_3,1,eyeliner,ship eye,15.0,"[""Nah"", ""Ship eye""]",0.0,0
Gemini 3 Flash,Rebus,20_3,1,eyeliner,i ship,20.0,"[""Doesn't seem relevant"", ""I ship""]",-0.6811279826464207,0
Gemini 2.5 Pro,Rebus,20_3,0,eyeship,eyeship,,[],0.0,1
Gemini 2.5 Pro,Rebus,20_3,0,eyeship,worship,75.0,"[""most often meant to be"", ""it is most likely"", ""given the common answers"", ""odd phonetic association""]",0.0,0
Gemini 2.5 Pro,Rebus,20_3,0,eyeship,eyeliner,65.0,"[""most promising seems"", ""makes more sense"", ""I lean toward""]",-0.7356294536817102,0
Gemini 3 Pro,Rebus,20_8,1,tender,ten der,95.0,"[""ten der"", ""that's the sound I need"", ""that solidifies it for me"", ""Ten * DER = TEN DER = TENDER""]",0.0,0
Gemini 3 Pro,Rebus,20_8,1,tender,ten-,85.0,"[""prefix \""ten-\"""", ""fits the \""ten [word]\"" rebus structure perfectly""]",0.0,0
